high,low,open,close,volume,hour
126.0,124.31,125.93,125.11,3731.992911519998,11
125.93,124.4,125.1,125.45,2213.94983726,12
125.55,125.01,125.44,125.17,798.2038689400001,13
125.49,125.06,125.15,125.3,2703.6919431199985,14
125.45,124.5,125.3,124.6,1413.40350234,15
125.42,124.51,124.97,124.65,1408.6276263199998,16
127.99,122.61,124.75,123.96,22361.872759290043,17
124.66,123.05,123.81,124.45,3200.5987461099976,18
124.56,123.91,124.45,123.91,1875.5498347899997,19
124.1,123.21,123.86,123.41,5157.997470919997,20
124.4,123.4,123.4,124.25,1221.6669761999997,21
124.61,123.95,124.22,124.41,751.3776052699999,22
124.69,123.98,124.41,124.25,1257.14675071,23
124.3,123.67,124.29,123.83,652.5390270600002,0
124.2,123.67,123.76,123.87,382.7935356699999,1
124.37,123.91,123.99,124.37,470.19905156000004,2
124.42,123.85,124.41,123.85,185.81606257,3
124.29,123.73,123.84,124.24,1499.3865540599998,4
124.22,123.97,124.12,124.07,379.39916473000005,5
124.26,123.48,124.1,123.8,758.08536207,6
125.34,122.97,123.81,123.94,4879.123996250001,7
124.71,123.9,123.9,124.26,1350.76085572,8
124.16,123.6,124.16,123.62,1251.6015320200004,9
123.74,123.27,123.6,123.41,2789.5772561100002,10
123.26,115.3,123.26,115.67,43167.043934049965,11
116.3,114.62,115.58,115.93,12608.247410930011,12
116.2,114.44,115.97,114.67,5608.022114630002,13
114.88,113.5,114.88,114.25,12704.592312310002,14
114.82,113.94,114.32,114.3,3708.4133936800017,15
116.0,114.0,114.29,115.4,6015.018372560002,16
115.64,114.95,115.38,115.4,1510.61826934,17
115.47,114.6,115.21,115.32,6923.159566519996,18
116.0,115.28,115.46,115.99,3034.364382959997,19
117.8,115.99,116.0,116.91,9591.086745519999,20
117.65,116.48,116.87,116.68,5176.757152930002,21
117.24,116.58,116.73,116.89,2511.739274809999,22
117.36,116.8,116.89,116.95,1110.11355742,23
117.5,116.79,117.08,117.04,1389.0175071799997,0
117.38,116.83,116.93,117.36,1415.6906531099999,1
118.27,117.03,117.36,117.16,3351.204398940004,2
117.67,116.8,117.15,116.8,891.0999876099995,3
117.15,116.44,116.86,116.63,4084.198944769999,4
117.41,116.15,116.64,116.49,2710.429706169998,5
116.74,115.92,116.5,116.33,4029.854964389996,6
117.3,116.13,116.44,117.12,4130.559417779999,7
117.42,116.51,117.18,116.62,4482.088777690001,8
116.77,116.23,116.66,116.7,5265.6535815399975,9
129.5,116.6,116.74,128.7,38201.414390059916,10
131.7,127.33,128.88,128.31,24670.52172397,11
129.55,127.75,128.32,128.82,10155.979748560003,12
130.94,128.41,128.73,129.33,13514.616834910015,13
129.4,128.58,129.34,128.58,3223.4201823400003,14
129.68,127.34,128.92,127.6,7679.883766679997,15
128.18,126.06,127.72,128.12,5408.4899876,16
128.86,127.79,127.94,128.35,4708.84772522,17
128.89,127.51,128.3,128.31,4450.861965020008,18
129.87,128.3,128.3,129.18,6371.7172187,19
129.84,128.88,129.17,128.88,3238.9630012600005,20
128.82,128.3,128.82,128.46,767.1206540499999,21
129.16,127.69,128.41,128.08,4142.536709400002,22
128.43,127.71,128.07,128.43,1811.9965094999998,23
128.62,127.95,128.43,127.98,1886.6040189699984,0
